Loading channels: ...working... done
# Name                       Version           Build  Channel             
opencv                         4.5.0          py38_5  conda-forge         
opencv                         4.5.0          py38_6  conda-forge         
opencv                         4.5.0          py39_5  conda-forge         
opencv                         4.5.0          py39_6  conda-forge         
opencv                         4.5.1  py38h150bfb4_0  conda-forge         
opencv                         4.5.1  py38h150bfb4_1  conda-forge         
opencv                         4.5.1  py39hdf13c20_0  conda-forge         
opencv                         4.5.1  py39hdf13c20_1  conda-forge         
opencv                         4.5.2  py38h150bfb4_0  conda-forge         
opencv                         4.5.2  py38h150bfb4_1  conda-forge         
opencv                         4.5.2  py39hdf13c20_1  conda-forge         
opencv                         4.5.3 py310hb6292c7_8  conda-forge         
opencv                         4.5.3  py31hb6292c7_6  conda-forge         
opencv                         4.5.3  py31hb6292c7_7  conda-forge         
opencv                         4.5.3  py38h150bfb4_1  conda-forge         
opencv                         4.5.3  py38h150bfb4_2  conda-forge         
opencv                         4.5.3  py38h150bfb4_3  conda-forge         
opencv                         4.5.3  py38h150bfb4_4  conda-forge         
opencv                         4.5.3  py38h150bfb4_5  conda-forge         
opencv                         4.5.3  py38h150bfb4_6  conda-forge         
opencv                         4.5.3  py38h150bfb4_7  conda-forge         
opencv                         4.5.3  py38h150bfb4_8  conda-forge         
opencv                         4.5.3  py39hdf13c20_1  conda-forge         
opencv                         4.5.3  py39hdf13c20_2  conda-forge         
opencv                         4.5.3  py39hdf13c20_3  conda-forge         
opencv                         4.5.3  py39hdf13c20_4  conda-forge         
opencv                         4.5.3  py39hdf13c20_5  conda-forge         
opencv                         4.5.3  py39hdf13c20_6  conda-forge         
opencv                         4.5.3  py39hdf13c20_7  conda-forge         
opencv                         4.5.3  py39hdf13c20_8  conda-forge         
opencv                         4.5.5 py310hb6292c7_10  conda-forge         
opencv                         4.5.5 py310hb6292c7_11  conda-forge         
opencv                         4.5.5 py310hb6292c7_12  conda-forge         
opencv                         4.5.5 py310hb6292c7_13  conda-forge         
opencv                         4.5.5 py310hb6292c7_9  conda-forge         
opencv                         4.5.5  py31hb6292c7_0  conda-forge         
opencv                         4.5.5  py31hb6292c7_1  conda-forge         
opencv                         4.5.5  py31hb6292c7_2  conda-forge         
opencv                         4.5.5  py31hb6292c7_3  conda-forge         
opencv                         4.5.5  py31hb6292c7_4  conda-forge         
opencv                         4.5.5  py31hb6292c7_5  conda-forge         
opencv                         4.5.5  py31hb6292c7_6  conda-forge         
opencv                         4.5.5  py31hb6292c7_7  conda-forge         
opencv                         4.5.5  py31hb6292c7_8  conda-forge         
opencv                         4.5.5  py38h150bfb4_0  conda-forge         
opencv                         4.5.5  py38h150bfb4_1  conda-forge         
opencv                         4.5.5 py38h150bfb4_10  conda-forge         
opencv                         4.5.5 py38h150bfb4_11  conda-forge         
opencv                         4.5.5 py38h150bfb4_12  conda-forge         
opencv                         4.5.5 py38h150bfb4_13  conda-forge         
opencv                         4.5.5  py38h150bfb4_2  conda-forge         
opencv                         4.5.5  py38h150bfb4_3  conda-forge         
opencv                         4.5.5  py38h150bfb4_4  conda-forge         
opencv                         4.5.5  py38h150bfb4_5  conda-forge         
opencv                         4.5.5  py38h150bfb4_6  conda-forge         
opencv                         4.5.5  py38h150bfb4_7  conda-forge         
opencv                         4.5.5  py38h150bfb4_8  conda-forge         
opencv                         4.5.5  py38h150bfb4_9  conda-forge         
opencv                         4.5.5  py39hdf13c20_0  conda-forge         
opencv                         4.5.5  py39hdf13c20_1  conda-forge         
opencv                         4.5.5 py39hdf13c20_10  conda-forge         
opencv                         4.5.5 py39hdf13c20_11  conda-forge         
opencv                         4.5.5 py39hdf13c20_12  conda-forge         
opencv                         4.5.5 py39hdf13c20_13  conda-forge         
opencv                         4.5.5  py39hdf13c20_2  conda-forge         
opencv                         4.5.5  py39hdf13c20_3  conda-forge         
opencv                         4.5.5  py39hdf13c20_4  conda-forge         
opencv                         4.5.5  py39hdf13c20_5  conda-forge         
opencv                         4.5.5  py39hdf13c20_6  conda-forge         
opencv                         4.5.5  py39hdf13c20_7  conda-forge         
opencv                         4.5.5  py39hdf13c20_8  conda-forge         
opencv                         4.5.5  py39hdf13c20_9  conda-forge         
opencv                         4.6.0 py310hb6292c7_0  conda-forge         
opencv                         4.6.0 py310hb6292c7_1  conda-forge         
opencv                         4.6.0 py310hb6292c7_2  conda-forge         
opencv                         4.6.0 py310hb6292c7_3  conda-forge         
opencv                         4.6.0 py310hb6292c7_4  conda-forge         
opencv                         4.6.0 py310hb6292c7_5  conda-forge         
opencv                         4.6.0 py310hb6292c7_6  conda-forge         
opencv                         4.6.0 py310hb6292c7_7  conda-forge         
opencv                         4.6.0 py310hb6292c7_8  conda-forge         
opencv                         4.6.0 py310hb6292c7_9  conda-forge         
opencv                         4.6.0 py311ha1ab1f8_6  conda-forge         
opencv                         4.6.0 py311ha1ab1f8_7  conda-forge         
opencv                         4.6.0 py311ha1ab1f8_8  conda-forge         
opencv                         4.6.0 py311ha1ab1f8_9  conda-forge         
opencv                         4.6.0  py38h150bfb4_0  conda-forge         
opencv                         4.6.0  py38h150bfb4_1  conda-forge         
opencv                         4.6.0  py38h150bfb4_2  conda-forge         
opencv                         4.6.0  py38h150bfb4_3  conda-forge         
opencv                         4.6.0  py38h150bfb4_4  conda-forge         
opencv                         4.6.0  py38h150bfb4_5  conda-forge         
opencv                         4.6.0  py38h150bfb4_6  conda-forge         
opencv                         4.6.0  py38h150bfb4_7  conda-forge         
opencv                         4.6.0  py38h150bfb4_8  conda-forge         
opencv                         4.6.0  py38h150bfb4_9  conda-forge         
opencv                         4.6.0  py39hdf13c20_0  conda-forge         
opencv                         4.6.0  py39hdf13c20_1  conda-forge         
opencv                         4.6.0  py39hdf13c20_2  conda-forge         
opencv                         4.6.0  py39hdf13c20_3  conda-forge         
opencv                         4.6.0  py39hdf13c20_4  conda-forge         
opencv                         4.6.0  py39hdf13c20_5  conda-forge         
